,,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Oct,Total TEUs,"  159,782 ","  175,518 ","  172,776 ","175,330.00","206,597.25","221,104.75","233,466.00","238,567.25","265,489.75","270,538.00","266,976.00","274,215.00","318,481.50",
,,,,,,,,,,,,,,,
Nov,Export Loads,"  73,163 ","  72,511 ","  71,594 ","86,419.25","89,169.00","93,442.00","81,038.50","94,158.50","87,695.00","77,788.75","77,241.00","89,031.75","84,001.75",
Nov,Import Loads,"  59,463 ","  67,159 ","  66,387 ","85,116.25","79,328.50","84,585.50","85,371.25","101,860.75","110,672.75","112,218.25","103,410.00","125,214.25","141,616.75",
Nov,Export Empties,"  10,634 ","  14,190 ","  17,757 ","18,065.00","17,710.75","23,212.25","32,209.75","36,412.00","40,057.25","47,841.00","44,991.50","64,844.25","60,745.50",
Nov,Import Empties,"  11,317 ","  9,351 ","  8,207 ","9,119.00","6,709.50","7,523.75","4,852.25","3,724.00","2,145.00","2,042.00","1,339.00",778.00,"4,395.00",
Nov,Total TEUs,"  154,577 ","  163,211 ","  163,945 ","198,719.50","192,917.75","208,763.50","203,471.75","236,155.25","240,570.00","239,890.00","226,981.50","279,868.25","290,759.00",
,,,,,,,,,,,,,,,
Dec,Export Loads,"  71,105 ","  62,931 ","  74,381 ","87,596.00","83,464.75","90,759.00","79,134.25","86,917.00","90,240.75","75,418.00","78,284.75","82,670.25","88,667.00",
Dec,Import Loads,"  57,292 ","  54,818 ","  58,074 ","69,719.00","75,984.50","86,305.00","83,025.50","97,712.25","105,866.75","111,566.00","103,710.50","123,217.50","157,589.75",
Dec,Export Empties,"  8,278 ","  12,707 ","  13,515 ","14,518.75","16,257.25","18,521.75","31,125.75","39,193.75","39,364.00","52,045.50","41,854.25","53,175.25","74,265.25",
Dec,Import Empties,"  11,524 ","  7,996 ","  8,330 ","13,916.50","5,384.00","7,690.00","3,753.50","5,801.25","2,053.00","2,091.00","1,052.25","1,338.00","5,005.00",
Dec,Total TEUs,"  148,199 ","  138,452 ","  154,300 ","185,750.25","181,090.50","203,275.75","197,039.00","229,624.25","237,524.50","241,120.50","224,901.75","260,401.00","325,527.00",
,,,,,,,,,,,,,,,
Total,Export Loads," 791,831 "," 824,331 "," 855,334 ","936,808.00","998,843.25","1,034,526.25","997,828.00","1,006,118.75","1,014,570.25","977,786.00","966,102.00","940,683.75","1,049,587.75","718,280.00"
Total,Import Loads," 689,931 "," 766,680 "," 768,873 ","870,317.50","934,118.50","1,017,878.50","1,082,520.00","1,174,893.00","1,276,334.50","1,327,408.75","1,366,381.00","1,316,975.50","1,679,528.00","1,192,548.75"
Total,Export Empties,"  136,529 ","  181,039 ","  176,803 ","195,567.25","188,388.75","263,862.50","394,383.75","422,843.00","506,736.75","528,049.25","582,802.00","534,216.50","762,353.50","569,573.75"
Total,Import Empties," 126,937 "," 122,968 "," 117,019 ","103,191.25","102,182.00","76,770.50","74,538.25","51,850.50","43,374.75","22,660.25","22,677.00","21,538.75","31,364.50","32,236.75"
Total,Total TEUs,"  1,745,228 ","  1,895,018 ","  1,918,029 ","2,105,884.00","2,223,532.50","2,393,037.75","2,549,270.00","2,655,705.25","2,841,016.25","2,855,904.25","2,937,962.00","2,813,414.50","3,522,833.75","2,512,639.25"
